trainx,train_y
10.2,15.0
12.333333333333334,15.0
7.142857142857143,6.0
10.4,6.0
10.75,6.0
11.5,6.0
7.4,18.0
9.75,18.0
10.5,18.0
12.6,18.0
8.666666666666666,9.0
13.5,9.0
14.6,9.0
14.666666666666666,9.0
10.666666666666666,13.0
15.25,13.0
19.0,13.0
6.6,7.0
15.25,7.0
15.5,7.0
14.333333333333334,7.0
6.25,9.0
13.6,9.0
14.75,9.0
12.5,9.0
6.5,8.0
13.0,8.0
13.333333333333334,8.0
27.142857142857142,8.0
10.0,1.0
9.5,1.0
6.25,2.0
2.1666666666666665,8.0
1.6666666666666667,10.0
0.0,5.0
0.0,1.0
0.8,1.0
2.2,1.0
4.5,6.0
4.0,7.0
6.166666666666667,8.0
7.5,1.0
5.5,1.0
8.0,1.0
11.8,12.0
13.333333333333334,5.0
12.0,15.0
11.25,6.0
11.428571428571429,18.0
11.75,9.0
15.833333333333334,13.0
11.0,7.0
10.2,9.0
10.714285714285714,8.0
2.0,1.0
15.666666666666666,1.0
2.5,1.0
11.666666666666666,1.0
2.0,2.0
15.75,2.0
2.0,8.0
9.333333333333334,8.0
2.0,10.0
7.285714285714286,10.0
2.0,5.0
5.333333333333333,5.0
2.0,1.0
6.0,1.0
2.0,1.0
5.5,1.0
2.0,1.0
5.8,1.0
2.0,6.0
6.166666666666667,6.0
2.0,7.0
7.166666666666667,7.0
2.0,8.0
14.0,8.0
4.5,1.0
11.8,1.0
11.75,1.0
8.666666666666666,1.0
12.6,1.0
11.2,12.0
16.0,12.0
11.25,5.0
17.75,5.0
12.25,15.0
14.2,15.0
11.75,6.0
13.428571428571429,6.0
11.0,18.0
15.166666666666666,18.0
11.0,9.0
20.2,9.0
12.0,13.0
23.571428571428573,13.0
12.666666666666666,7.0
22.0,7.0
12.0,9.0
26.333333333333332,9.0
11.8,8.0
23.4,8.0
17.666666666666668,1.0
21.0,1.0
14.0,2.0
7.25,8.0
6.0,10.0
2.0,5.0
33.1,13.0
35.111111111111114,19.0
34.5,19.0
33.3,26.0
30.4,24.0
27.1,19.0
25.727272727272727,15.0
22.88888888888889,14.0
24.6,12.0
23.333333333333332,10.0
23.5,4.0
26.1,9.0
27.88888888888889,14.0
24.88888888888889,9.0
24.4,12.0
25.4,8.0
26.6,14.0
23.8,6.0
24.7,14.0
28.90909090909091,14.0
28.6,18.0
25.4,16.0
25.9,12.0
26.625,8.0
28.714285714285715,17.0
26.88888888888889,9.0
22.0,14.0
27.0,-2.0
19.3,1.0
21.9,16.0
18.4,12.0
15.8,16.0
20.77777777777778,4.0
12.8,12.0
12.8,12.0
13.555555555555555,19.0
10.6,12.0
11.8,9.0
11.7,2.0
12.9,6.0
14.4,13.0
15.0,13.0
14.0,9.0
13.666666666666666,2.0
13.2,6.0
13.222222222222221,4.0
14.777777777777779,8.0
13.6,4.0
13.6,8.0
13.2,8.0
13.777777777777779,8.0
20.6,2.0
14.8,1.0
15.7,6.0
9.88888888888889,8.0
16.9,13.0
11.555555555555555,9.0
10.3,6.0
13.333333333333334,2.0
10.5,6.0
12.0,8.0
14.2,8.0
12.6,1.0
11.3,3.0
9.8,3.0
9.0,3.0
8.1,4.0
8.222222222222221,8.0
7.454545454545454,8.0
8.88888888888889,2.0
8.4,1.0
10.6,1.0
9.7,4.0
9.222222222222221,4.0
7.8,14.0
9.818181818181818,8.0
17.4,14.0
22.9,6.0
29.6,12.0
25.5,13.0
23.6,14.0
23.0,17.0
21.818181818181817,10.0
26.6,13.0
16.0,10.0
12.1,10.0
12.222222222222221,8.0
12.777777777777779,5.0
11.2,6.0
13.8,4.0
17.11111111111111,6.0
13.6,5.0
12.7,4.0
16.4,6.0
16.6,5.0
16.181818181818183,13.0
31.3,10.0
29.3,10.0
29.0,13.0
27.0,12.0
23.5,16.0
25.6,10.0
22.727272727272727,17.0
23.1,18.0
16.8,16.0
15.7,8.0
16.444444444444443,3.0
16.1,8.0
17.666666666666668,8.0
17.6,14.0
14.6,8.0
10.88888888888889,1.0
9.88888888888889,1.0
9.7,1.0
8.6,1.0
8.1,1.0
7.909090909090909,1.0
7.8,1.0
7.8,1.0
9.6,1.0
10.0,2.0
14.4,2.0
24.4,10.0
30.90909090909091,1.0
37.6,23.0
35.3,21.0
31.6,18.0
30.22222222222222,17.0
30.9,12.0
32.8,16.0
35.4,14.0
32.77777777777778,25.0
25.0,23.0
11.1,19.0
16.2,10.0
27.7,16.0
33.7,18.0
33.27272727272727,26.0
35.3,1.0
37.6,12.0
30.5,2.0
19.4,6.0
21.0,10.0
26.5,12.0
32.5,14.0
33.22222222222222,14.0
31.5,19.0
33.55555555555556,19.0
35.0,22.0
37.55555555555556,18.0
35.22222222222222,19.0
34.888888888888886,27.0
37.09090909090909,24.0
39.4,28.0
38.22222222222222,19.0
37.5,19.0
38.888888888888886,26.0
39.0,28.0
38.22222222222222,34.0
38.09090909090909,19.0
32.3,16.0
30.77777777777778,8.0
30.555555555555557,10.0
30.1,13.0
30.2,12.0
32.5,12.0
35.54545454545455,8.0
36.0,17.0
34.4,14.0
30.6,19.0
31.88888888888889,10.0
32.3,16.0
34.4,21.0
34.0,22.0
35.44444444444444,24.0
38.44444444444444,23.0
35.5,27.0
41.333333333333336,28.0
37.1,28.0
36.2,24.0
36.54545454545455,22.0
40.1,28.0
34.7,1.0
36.2,26.0
32.7,23.0
32.4,18.0
